Sr No,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks,date
2661,Wassup,On-Demand Laundry & Dry cleaning App,Online Lending Platform,Chennai,B S Nagesh,Private Equity,18438.5,Pre-Series A,30/07/2015
2662,Cartisan,On-Demand Car services App,Online Lending Platform,Bangalore,"YouWeCan Ventures,\\xc2\\xa0 Aprameya Radhakrishna",Seed Funding,18438.5,Not provided,30/07/2015
2663,LazyLad,Hyperlocal Grocery App,Online Lending Platform,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,500.0,pre-Series A,31/07/2015
2664,TripFactory,Online Curated Holiday package bookings,Online Lending Platform,Bangalore,"Aarin Capital Partners,",Private Equity,18438.5,Series A,31/07/2015
2665,Prothom,Hasbro Toy Manufacturer,Online Lending Platform,Pune,Oliphabs Capital,Private Equity,2000.0,Series A,31/07/2015
2666,Bona Vita,Travel Tech,Online Lending Platform,Gurgaon,MakeMyTrip,Private Equity,5000.0,Strategic Investment,31/07/2015
2667,Vyomo,Beauty and Wellness Platform,Online Lending Platform,New Delhi,Aprameya Radhakrishna,Seed Funding,18438.5,Not provided,01/06/2015
2668,Veeba Foods,Healthy Food Manufacturer,Online Lending Platform,New Delhi,"DSG Consumer Partners, Saama Capital.",Private Equity,6000.0,Series B,01/06/2015
2669,Truebil,Used Car Marketplace,Online Lending Platform,Mumbai,"Kae Capital, Anupam Mittal",Seed Funding,500.0,Not provided,01/06/2015
2670,Meritnation,Online Learning Platform,Online Lending Platform,New Delhi,InfoEdge,Private Equity,4000.0,Series C,01/06/2015
2671,Eattreatonline,Healthy Food Online Community,Online Lending Platform,New Delhi,Group of 15 Angel Investors,Seed Funding,350.0,Not provided,01/06/2015
2672,CredR,Used two-wheeler Marketplace,Online Lending Platform,Mumbai,GrowthStory,Seed Funding,18438.5,Not provided,01/06/2015
2673,Glamrs,Online Fashion Video Portal,Online Lending Platform,Mumbai,"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",Private Equity,1000.0,Pre-Series A,01/06/2015
2674,Proviera,Probiotic Technology Products Manufacturer,Online Lending Platform,Chennai,Infuse Ventures,Private Equity,550.0,Not provided,01/06/2015
2675,Arth DesignBuild,Architectural Design & Consulting,Online Lending Platform,Hyderabad,Srinivas Tirupati,Seed Funding,500.0,Not provided,01/06/2015
2676,Saama,Big Data & Analytics Services,Online Lending Platform,Pune / US,Carrick Capital Partners,Private Equity,35000.0,Series A,02/06/2015
2677,AllIzHealth,Preventive Healthcare Services,Online Lending Platform,Pune,Mumbai Angels & Other angel investors,Seed Funding,350.0,Not provided,02/06/2015
2678,Karma Healthcare,Tech-enabled Rural Healthcare Services,Online Lending Platform,Udaipur,Ennovent Impact Investment Holding,Private Equity,18438.5,Series A,02/06/2015
2679,Entropy Innovations,Engineering Innovations,Online Lending Platform,Mumbai,Mark Mobius & 9 Other Angel investors,Seed Funding,18438.5,Not provided,03/06/2015
2680,Propstack,Real Estate Intelligence Platform,Online Lending Platform,Mumbai,DMG Information,Private Equity,3000.0,Series A,03/06/2015
2681,MyTaxiIndia,Online Car Rental Affiliates,Online Lending Platform,New Delhi,Green House Ventures,Seed Funding,100.0,Not provided,03/06/2015
2682,Arkin Net,Data Center Software platform,Online Lending Platform,Pune / US,Nexus Venture Partners,Private Equity,15000.0,Series B,03/06/2015
2683,Little Black Book Delhi,Online City & Lifestyle Guide,Online Lending Platform,New Delhi,"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",Seed Funding,150.0,Not provided,03/06/2015
2684,MyPoolin,P2P Payments platform,Online Lending Platform,New Delhi,"Sharad Sharma, Rajan Anandan, Sunil Kalra, Amit Ranjan, Rohan Malhotra,\\xc2\\xa0 Arjun Malhotra, Gautam Gandhi",Seed Funding,18438.5,Not provided,03/06/2015
2685,iCustomadeit,Bespoke Merchandize Marketplace,Online Lending Platform,Pune,"Virendra Shahney, Dr Paresh Doshi",Seed Funding,250.0,Not provided,03/06/2015
2686,KAARYAH,Women Lifestyle Marketplace,Online Lending Platform,Gurgaon,Ratan Tata,Seed Funding,18438.5,Not provided,03/06/2015
2687,Ecom Express,Logistics Solution Provider,Online Lending Platform,New Delhi,Warburg Pincus,Private Equity,44596.25,Series C,04/06/2015
2688,Vidooly,Video Intelligence Platform,Online Lending Platform,Noida,Bessemer Venture Partners,Private Equity,1000.0,Pre-Series A,04/06/2015
2689,Zopper,Hyperlocal Shopping App,Online Lending Platform,Mumbai,"Tiger Global,\\xc2\\xa0 Nirvana Ventures Advisors",Private Equity,20000.0,Series C,04/06/2015
2690,Flipkart,eCommerce platform,Online Lending Platform,Bangalore,Morgan Stanley,Private Equity,44596.25,Late Stage,04/06/2015
2691,kWatt Solutions,Renewable energy solutions,Online Lending Platform,Mumbai,Not provided,Seed Funding,500.0,Not provided,05/06/2015
2692,Medwell Ventures,Healthcare\\nService provider,Online Lending Platform,Bangalore,"Fidelity Growth Partners, Fidelity Biosciences",Private Equity,10000.0,Series A,05/06/2015
2693,Jugnoo,Auto Rickshaw Based Services,Online Lending Platform,Chandigarh,"Snow Leopard, Paytm",Private Equity,5000.0,Series A,05/06/2015
2694,PosterGully,Artist / Designer Marketplace,Online Lending Platform,New Delhi,"Natarajan Iyer,Rajesh Sawhney,\\xc2\\xa0 & other Angel investors.",Seed Funding,18438.5,Not provided,08/06/2015
2695,Applied Solar Technologies,Off-grid Solar Power,Online Lending Platform,Mumbai,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",Private Equity,40000.0,Series B,08/06/2015
2696,Clovia,Private Label lingerie Ecommerce,Online Lending Platform,New Delhi,IvyCap Ventures,Private Equity,5000.0,Series A,09/06/2015
2697,Swiggy,Online Food Ordering,Online Lending Platform,Bangalore,"Norwest Venture Partners, SAIF Partners, Accel Partners",Private Equity,16500.0,Series B,09/06/2015
2698,PayMango,Mobile Commerce Platform,Online Lending Platform,Gurgaon,Group of Angel Investors,Seed Funding,234.0,Not provided,09/06/2015
2699,Printland,Online Printing Services,Online Lending Platform,New Delhi,SIDBI Venture Capital Ltd,Private Equity,18438.5,Series A,09/06/2015
2700,Teritree,Digital Marketing Services,Online Lending Platform,Bangalore,KCL,Seed Funding,140.0,Not provided,09/06/2015
2701,Guiddoo,Travel Guide Mobile App,Online Lending Platform,Mumbai,"Pawan Borle, SVP Fly Dubai & Others",Seed Funding,18438.5,Not provided,10/06/2015
2702,Voonik,Fashion Ecommerce store,Online Lending Platform,Bangalore,"Sequoia Capital, Seedfund",Private Equity,5000.0,Series A,10/06/2015
2703,AdStringO,Mobile Compression Software,Online Lending Platform,Mumbai,"Arihant Patni, Vishal Khare,\\xc2\\xa0 Viswanath Ramachandran",Seed Funding,350.0,Not provided,11/06/2015
2704,Faircent.com,Peer to Peer Lending platform,Online Lending Platform,Gurgaon,M&S Partners Pte. Ltd,Seed Funding,250.0,Pre-Series A,11/06/2015
2705,La Renon,Global Healthcare products,Online Lending Platform,Ahmedabad,Sequoia Capital,Private Equity,16000.0,Series A,12/06/2015
2706,Homelane,Home Furnishing Solutions,Online Lending Platform,Bangalore,Sequoia Capital,Private Equity,44596.25,Series B,15/06/2015
2707,iSTAR,Skill Training & Placement Platform,Online Lending Platform,Bangalore,Unitus Seed Fund,Private Equity,18438.5,Series A,15/06/2015
2708,Shippr,Intra-City Logistics service,Online Lending Platform,Bangalore,i2india Pvt Ltd,Seed Funding,500.0,Not provided,15/06/2015
2709,FoodAbhi,online tiffin service aggregator,Online Lending Platform,Mumbai,Group of angel investors,Seed Funding,18438.5,Not provided,16/06/2015
2710,Karma Recycling,Electronic Goods recycling service,Online Lending Platform,Delhi,"Infuse Ventures, Low Carbon Enterprise Fund",Private Equity,18438.5,Series A,16/06/2015
2711,CouponRaja,Online Coupon & comparison platform,Online Lending Platform,Mumbai,"Mahesh Pratapneni, Pallab Chatterjee & others",Seed Funding,500.0,Not provided,16/06/2015
2712,Babychakra,Parents & Kids Online platform,Online Lending Platform,Mumbai,"Mumbai Angels, Patni Family Office, Singapore Angel Network, Karan Maheshwari, Jatin Aneja, Kishor Ganji, Roopa Nath",Seed Funding,18438.5,Not provided,17/06/2015
2713,Jiffstore,Online Grocery platform,Online Lending Platform,Bangalore,"Unitus Seed Fund, Times Internet",Seed Funding,18438.5,additional funding round,17/06/2015
2714,MyDentist,Dental Clinic chain,Online Lending Platform,Mumbai,"LGT Group, Asian Healthcare fund, Seedfund",Private Equity,8200.0,Series C,17/06/2015
2715,Moovo,On-Demand Logistics Service,Online Lending Platform,New Delhi,YouWeCan Ventures,Seed Funding,18438.5,Not provided,18/06/2015
2716,Fracktal Works,3D Printer Manufacturer,Online Lending Platform,Bangalore,Neoteric Infomatique Limited,Private Equity,3000.0,Series A,18/06/2015
2717,Hansa Customer Equity,IT / Customer Engagement Consulting,Online Lending Platform,Mumbai,ASK Pravi,Private Equity,5000.0,Series A,18/06/2015
2718,HealthifyMe,Health & Fitness App,Online Lending Platform,Bangalore,"Gopal Srinivasan, Sashi Reddy, Amit Gupta, Pallav Nadhani",Private Equity,18438.5,Series A,18/06/2015
2719,CAKART.in,Online Education Marketplace,Online Lending Platform,Bangalore,Sunil Maheshwari & group of investors,Seed Funding,18438.5,Not provided,18/06/2015
2720,Housejoy,Home services marketplace,Online Lending Platform,Bangalore,Matrix Partners,Private Equity,4000.0,Series A,19/06/2015
2721,FundsIndia.com,Financial Services Platform,Online Lending Platform,Chennai,"Faering Capital, Foundation Capital, Inventus Capital Partners",Private Equity,11000.0,Series C,19/06/2015
2722,Cupick,Social Network for Artists,Online Lending Platform,Bangalore,Group of Angel Investors from US/India,Seed Funding,120.0,Not provided,20/06/2015
2723,Tracxn,Startup funding platform,Online Lending Platform,Bangalore,"Sachin Bansal, Bunny Bansal & other investors",Private Equity,10000.0,Series A,20/06/2015
